   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   6.5000000000000000       5.09074723767211600E-003 -2.67680369808843197E-009
   13.000000000000000       1.75838289406619296E-002 -2.84933642688801714E-007
   19.500000000000000       3.19247591156301483E-002 -3.78794001604841310E-006
   26.000000000000000       4.39860422451914326E-002 -2.09201394254598110E-005
   32.500000000000000       5.24921817643952196E-002 -7.06272344126577687E-005
   39.000000000000000       5.78436577111789488E-002 -1.74325705518141191E-004
   45.500000000000000       6.07064298780812320E-002 -3.47474900821227414E-004
   52.000000000000000       6.15189599010254884E-002 -5.94430279416507902E-004
   58.500000000000000       6.05887868512934163E-002 -9.07751123764161398E-004
   65.000000000000000       5.82476339627796200E-002 -1.27044329602052776E-003
   71.500000000000000       5.48906745688036227E-002 -1.65965250371245452E-003
   78.000000000000000       5.09385190288445464E-002 -2.05086178755689054E-003
   84.500000000000000       4.67816139265602240E-002 -2.42179258419104133E-003
   91.000000000000000       4.27366476680884552E-002 -2.75528778899913505E-003
   97.500000000000000       3.90241718767404336E-002 -3.04074263848215769E-003
   104.00000000000000       3.57672202685461113E-002 -3.27407240327868285E-003
   110.50000000000000       3.30057843209482782E-002 -3.45657343741923462E-003
   117.00000000000000       3.07197808727969479E-002 -3.59321731656973408E-003
   123.50000000000000       2.88533749953078789E-002 -3.69089763707162880E-003
   130.00000000000000       2.73355066353953187E-002 -3.75698980908294265E-003
   136.50000000000000       2.60942094145254003E-002 -3.79838110706006609E-003
   143.00000000000000       2.50648007138326960E-002 -3.82096010520058347E-003
   149.50000000000000       2.41934465220207603E-002 -3.82945872936460083E-003
   156.00000000000000       2.34378016099118722E-002 -3.82751371827144086E-003
   162.50000000000000       2.27659969797110659E-002 -3.81783284848314199E-003
   169.00000000000000       2.21548465248038833E-002 -3.80238802415868533E-003
   175.50000000000000       2.15879026566080864E-002 -3.78259327800494535E-003
   182.00000000000000       2.10537501789241459E-002 -3.75945166456619767E-003
   188.50000000000000       2.05446682034368562E-002 -3.73366955418225586E-003
   195.00000000000000       2.00556180836335453E-002 -3.70574286791091213E-003
   201.50000000000000       1.95834699693225277E-002 -3.67602111649605479E-003
   208.00000000000000       1.91264038794247103E-002 -3.64475446974560227E-003
   214.50000000000000       1.86834499350529773E-002 -3.61212793995603285E-003
   221.00000000000000       1.82541456027985362E-002 -3.57828572175772526E-003
   227.50000000000000       1.78382908660710028E-002 -3.54334796939234512E-003
   234.00000000000000       1.74357828969049396E-002 -3.50742179201339642E-003
   240.50000000000000       1.70465129010966832E-002 -3.47060791879987311E-003
   247.00000000000000       1.66703095304087529E-002 -3.43300424164745283E-003
   253.50000000000000       1.63069153487547767E-002 -3.39470722992801744E-003
   260.00000000000000       1.59559851545662684E-002 -3.35581200869230741E-003
   266.50000000000000       1.56170973522216615E-002 -3.31641169935941241E-003
   273.00000000000000       1.52897718489538228E-002 -3.27659644916929041E-003
   279.50000000000000       1.49734899597027613E-002 -3.23645243055335286E-003
   286.00000000000000       1.46677134281642026E-002 -3.19606097763143991E-003
   292.50000000000000       1.43719009057103365E-002 -3.15549794314205463E-003
   299.00000000000000       1.40855211233851408E-002 -3.11483330119014792E-003
   305.50000000000000       1.38080626114079029E-002 -3.07413098411876652E-003
   312.00000000000000       1.35390402165073177E-002 -3.03344892058202880E-003
   318.50000000000000       1.32779988834196318E-002 -2.99283923218186072E-003
   325.00000000000000       1.30245152503682057E-002 -2.95234854426672504E-003
   331.50000000000000       1.27781976061350794E-002 -2.91201836982258504E-003
   338.00000000000000       1.25386847048490607E-002 -2.87188553157466300E-003
   344.50000000000000       1.23056438577649318E-002 -2.83198259477186048E-003
   351.00000000000000       1.20787686348854863E-002 -2.79233829046044791E-003
   357.50000000000000       1.18577764245809177E-002 -2.75297791563777587E-003
   364.00000000000000       1.16424060239794531E-002 -2.71392370214416489E-003
   370.50000000000000       1.14324153706950801E-002 -2.67519515039951836E-003
   377.00000000000000       1.12275794782238751E-002 -2.63680932718596142E-003
   383.50000000000000       1.10276886020013332E-002 -2.59878112877432767E-003
   390.00000000000000       1.08325466387344162E-002 -2.56112351198228057E-003
   396.50000000000000       1.06419697460381057E-002 -2.52384769642688368E-003
   403.00000000000000       1.04557851605390495E-002 -2.48696334146726768E-003
   409.50000000000000       1.02738301886209360E-002 -2.45047870126783533E-003
   416.00000000000000       1.00959513433445669E-002 -2.41440076116286421E-003
   422.50000000000000       9.92200360256411187E-003 -2.37873535815473188E-003
   429.00000000000000       9.75184976595914500E-003 -2.34348728799104898E-003
   435.50000000000000       9.58535989194483559E-003 -2.30866040088172596E-003
   442.00000000000000       9.42241079875481315E-003 -2.27425768756073189E-003
   448.50000000000000       9.26288561712273854E-003 -2.24028135708290730E-003
   455.00000000000000       9.10667338475537255E-003 -2.20673290747910780E-003
   461.50000000000000       8.95366867511984167E-003 -2.17361319017331245E-003
   468.00000000000000       8.80377125495189136E-003 -2.14092246888931059E-003
   474.50000000000000       8.65688576635983628E-003 -2.10866047363697604E-003
   481.00000000000000       8.51292143050281711E-003 -2.07682645026245572E-003
   487.50000000000000       8.37179177062300287E-003 -2.04541920596685309E-003
   494.00000000000000       8.23341435277099611E-003 -2.01443715113827334E-003
   500.50000000000000       8.09771054293942014E-003 -1.98387833779762593E-003
   507.00000000000000       7.96460527956103712E-003 -1.95374049492505345E-003
   513.50000000000000       7.83402686047508789E-003 -1.92402106090823759E-003
   520.00000000000000       7.70590674355121387E-003 -1.89471721333357972E-003
   526.50000000000000       7.58017936020813268E-003 -1.86582589632448750E-003
